Ruler: oop | Turn 1 | Score = 3730
Ruler: Frostbite Legion | Turn 10 | Score = 5295
Ruler: 0 | Turn 11 | Score = 6769
Ruler: Frostbite Legion | Turn 11 | Score = 5399
Ruler: Frostbite Legion | Turn 12 | Score = 5449
Ruler: 0 | Turn 13 | Score = 7054 | Game Over: Ruler has been overthrown by coup
Ruler: hi | Turn 1 | Score = 3724
Ruler: bye | Turn 1 | Score = 3724
Ruler: hi | Turn 2 | Score = 4007
Ruler: bye | Turn 2 | Score = 4007
Ruler: hi | Turn 1 | Score = 3724
Ruler: bye | Turn 1 | Score = 3724
Ruler: hi | Turn 2 | Score = 4007
Ruler: bye | Turn 2 | Score = 4007
Ruler: hi | Turn 3 | Score = 4294
Ruler: bye | Turn 3 | Score = 4294
Ruler: hi | Turn 4 | Score = 4585
Ruler: bye | Turn 4 | Score = 4585
Ruler: hi | Turn 5 | Score = 4880
Ruler: bye | Turn 5 | Score = 4880
Ruler: hi | Turn 6 | Score = 5185
Ruler: bye | Turn 6 | Score = 5185
Ruler: hi | Turn 7 | Score = 5496
Ruler: bye | Turn 7 | Score = 5496
Ruler: hi | Turn 8 | Score = 5812
Ruler: bye | Turn 8 | Score = 5812
Ruler: 1 | Turn 1 | Score = 3744
Ruler: 2 | Turn 1 | Score = 3724
Ruler: 1 | Turn 2 | Score = 4047
Ruler: 2 | Turn 2 | Score = 4007
Ruler: 1 | Turn 3 | Score = 4354
Ruler: 2 | Turn 3 | Score = 4294
Ruler: 1 | Turn 4 | Score = 4665
Ruler: 2 | Turn 4 | Score = 4585
Ruler: 1 | Turn 5 | Score = 4980
Ruler: 2 | Turn 5 | Score = 4880
Ruler: Good | Turn 6 | Score = 2200 | Game Over: Kingdom has no population remaining
Ruler: 1 | Turn 6 | Score = 5285
Ruler: Good | Turn 6 | Score = 2200 | Game Over: Kingdom has no population remaining
Ruler: 1 | Turn 1 | Score = 3744
Ruler: 2 | Turn 1 | Score = 3724
Ruler: 1 | Turn 2 | Score = 4047
Ruler: 2 | Turn 2 | Score = 4007
Ruler: 1 | Turn 3 | Score = 4354
Ruler: 1 | Turn 3 | Score = 4665
Ruler: Good | Turn 3 | Score = 2200 | Game Over: Kingdom has no population remaining
Ruler: Good | Turn 3 | Score = 2200 | Game Over: Kingdom has no population remaining
Ruler: 1 | Turn 1 | Score = 3724
Ruler: 2 | Turn 1 | Score = 3724
Ruler: 1 | Turn 2 | Score = 4007
Ruler: 2 | Turn 2 | Score = 4007
Ruler: 1 | Turn 1 | Score = 3724
Ruler: 1 | Turn 1 | Score = 3744
Ruler: 1 | Turn 2 | Score = 4007
Ruler: 1 | Turn 2 | Score = 4047
Ruler: 1 | Turn 3 | Score = 4294
Ruler: 1 | Turn 3 | Score = 4354
Ruler: 1 | Turn 4 | Score = 4585
Ruler: 1 | Turn 1 | Score = 3724
Ruler: 2 | Turn 1 | Score = 3744
Ruler: 1 | Turn 1 | Score = 3791
Ruler: 2 | Turn 1 | Score = 3724
Ruler: 1 | Turn 2 | Score = 4158
Ruler: 2 | Turn 2 | Score = 4007
